Number,Konkani Word in Devnagiri,Konkani word in English alphabet,English Meaning,Context/usage in a sentence,Does the Devnagiri Spelling need correction? (Y/N),Does the meaning need correction? (Y/N),Corrected Devnagiri Spelling by user X,Corrected Devnagiri Spelling by user Y,Corrected English meaning by user X,Corrected English meaning by user Y
2,अम्चिगेले,,fellow konkanis,,,,,,,
3,अम्चिकेले,,fellow konkanis,,,,,,,
4,काळोsक,,dark,,,,,,,
5,आंगडी,,shop,,,,,,,
6,आंगणं,,courtyard,,,,,,,
7,अंगीकारु,,agreement,,,,,,,
8,अंगुष्ठ,,"big toe, thumb",,,,,,,
9,आंग्वण,,vow,,,,,,,
10,अंक,,number,,,,,,,
11,आंग्सो,,towel or a piece of cloth used for bathing; bathtowel; towel,,,,,,,
12,अंकुश,,a goad,,,,,,,
13,अंन्याय,,injustice,,,,,,,
14,अंश,,part,,,,,,,
15,अंत,,end,,,,,,,
16,अंतरन्ग,,inner nature,,,,,,,
17,आंबाडो,,bun hair,,,,,,,
18,बांगडो.,,deep fried dish,,,,,,,
19,आंग,,body,,,,,,,
20,आंगण,AangaNa,frontyard; ground/play ground,,,,,,,
21,आंगटी.. .,,cloth used for dusting,,,,,,,
22,आचारु,,etiquettes / manners,,,,,,,
23,आचरण,,behaviour,,,,,,,
24,आड,,across; obstruction; horizontal,,,,,,,
25,आड सरी,,"nap, lie down",,,,,,,
26,आड्डळी,,cross/head on collision,,,,,,,
27,आड्डावण,,clutter,,,,,,,
28,आड्डोळि,,a vegetable cutter with wooden base,,,,,,,
29,आधर,,base,,,,,,,
30,आधारु,,support,,,,,,,
31,आधुनिक,,modern,,,,,,,
32,आदिवासि,,tribal,,,,,,,
33,आडळी,,tool to cut vegitables,,,,,,,
34,आग्गोळु,,hair,,,,,,,
35,आयदन,,"utensils; utensil, vessel",,,,,,,
36,आइकता,,hear,,,,,,,
37,आजी,aaji,today,,,,,,,
38,आज्जो,,grand father or an elderly person; grandfather; grand father,,,,,,,
39,आजकाली,,nowadays,,,,,,,
40,आकांक्षा,,ambition,,,,,,,
41,आकाशु,,sky,,,,,,,
42,आकर्शण,,attraction,,,,,,,
43,आक्का,,elder sister; aunt (fathers sister); sister (elder); Elder sister / father's sister,,,,,,,
44,आक्रमण,,attack,,,,,,,
45,कोप,,anger,,,,,,,
46,आळांबें,,mushroom,,,,,,,
47,आळचे,,thicken the dish,,,,,,,
48,आळम्बो,,mashroom,,,,,,,
49,आंल्लें,,ginger,,,,,,,
50,आलोचन,,thoughts,,,,,,,
51,आळ्सो,,lazy,,,,,,,
52,हळ्त,,measurement,,,,,,,
53,आमंत्रण,,invitation,,,,,,,
54,आम्बट,,a coconut based spicy curry garnished with onion,,,,,,,
55,जाम्बयी,,yawn,,,,,,,
56,आम्बे कात्तो,,mango kernel,,,,,,,
57,आम्बो,,mango,,,,,,,
58,आम्ब्शे,,sour,,,,,,,
59,आम्बुडि,,attack (food),,,,,,,
60,आम्बुलि,,tender mango; tender green mango,,,,,,,
61,आम्का,,for us; us,,,,,,,
62,आम्मा,,mother,,,,,,,
63,आम्मि,,we,,,,,,,
64,आम्शे,,sour,,,,,,,
65,आण,,swear,,,,,,,
66,आनम्मा,,grandmother(father side),,,,,,,
67,नांकूट,,nail,,,,,,,
68,माॅळाॅ,,metallic nail,,,,,,,
69,आंतं,,intestine,,,,,,,
70,आन्नु,,father,,,,,,,
71,,,,,,,,,,
72,आपात्कालु,,danger,,,,,,,
73,आपत्कालु,,calamity,,,,,,,
74,आप्पोचे,,calling,,,,,,,
75,आराम,,rest / relaxed; comfort,,,,,,,
76,आरोग्य,,health,,,,,,,
77,लग्गी,,close,,,,,,,
78,सोनारू,,goldsmith,,,,,,,
79,आश्चर्य,,sursprise,,,,,,,
80,आशा,,desire,,,,,,,
81,आशी,,desire / wish,,,,,,,
82,आशिर्वादू,,blessings,,,,,,,
83,आश्रम,,hermitage / home,,,,,,,
84,आश्रय,,shelter,,,,,,,
85,आस्पत्री,,hospital,,,,,,,
86,आस्स,,have; is,,,,,,,
87,आस्सो,,be,,,,,,,
88,आस्थी,,property,,,,,,,
89,आट,,eight,,,,,,,
90,हात्तोडी,,hammer,,,,,,,
91,आत्मा,,soul,,,,,,,
92,आत्त,,"now, recently; now",,,,,,,
93,आत्ताचे,,current,,,,,,,
94,,,,,,,,,,
95,आट्टोचे,,to reduce the quantity,,,,,,,
96,हांव,,"I; i, me; myself",,,,,,,
97,आव्वाळो,,gooseberry,,,,,,,
98,आव्सु,,mother(parents),,,,,,,
99,आयुश्य,,life span,,,,,,,
100,अभिचार,,black magic,,,,,,,
101,अभिलाश,,greed,,,,,,,
102,अभिमान,,pride,,,,,,,
103,वाढं,,development,,,,,,,
104,अभ्यासु,,practice,,,,,,,
105,अचल,,without deviation,,,,,,,
106,अद्भुत,,marvelous,,,,,,,
107,अड्डेस,,two and a half; two and half,,,,,,,
108,अड्डोळी / आडळी,,knife (with large wooden base to sit),,,,,,,
109,अधर्म,,not following one's duty or religion,,,,,,,
110,दृष्टी/द्रष्टी,,"more, additional",,,,,,,
111,अधिकार,,right,,,,,,,
112,अधिकारु,,authority; power,,,,,,,
113,अधिकप्रसंगे,,interfering unnecessarily,,,,,,,
114,अधिक्प्रसंग,,meddling,,,,,,,
115,अधिपति,,"the lord, one to be followed",,,,,,,
116,अध्यादेश,,ordinance,,,,,,,
117,आकलसू/दुराशा,,teacher,,,,,,,
118,अध्यापिका,,female teacher,,,,,,,
119,अध्यक्ष,,"leader, chairman, chairperson",,,,,,,
120,अध्ययन / वाजी,,"study, read",,,,,,,
121,अधिवेशण,,conference,,,,,,,
122,अद्रुष्ट,,"luck, fortune",,,,,,,
123,अद्रुष्य,,invisible,,,,,,,
124,अगसत्य,,Rishi,,,,,,,
125,अगत्य,,essential,,,,,,,
126,अग्नी,,sacred fire; fire,,,,,,,
127,अग्निपर्वत,,volcano,,,,,,,
128,अग्रज,,elder,,,,,,,
129,लाळ,,saliva,,,,,,,
130,,,,,,,,,,
131,आय्क,,listen,,,,,,,
132,आय्कतलो,,one who listens,,,,,,,
133,आय्कुचे,,listening,,,,,,,
134,आय्तारु,,sunday,,,,,,,
135,अज्गर,,python,,,,,,,
136,अज्जी,,grand mother,,,,,,,
137,अकार्य,,forbidden act,,,,,,,
138,अकर्म,,inaction,,,,,,,
139,अकस्माथ,,by chance,,,,,,,
140,अखिल,,entire,,,,,,,
141,अकीर्ति,,infamy,,,,,,,
142,अलंकारु,,decoration,,,,,,,
143,आळसंधो,,long beans,,,,,,,
144,आळसंध्या बी,,black eyed beans,,,,,,,
145,अळ्शी,,rub,,,,,,,
146,अळ्सीक,,shame,,,,,,,
147,आवळ्यामांडे,,arvi,,,,,,,
148,अमास,,"new moon day, no moon day",,,,,,,
149,अमल,,drowsiness,,,,,,,
150,अम्बेचे,,mooing,,,,,,,
151,आंम्बो,,mango,,,,,,,
152,आम्गेले,,ours; our,,,,,,,
153,अमृत्,,"nectar of immortality,",,,,,,,
154,अनादर / अपमान,,disrespect,,,,,,,
155,अनाथ,,orphan,,,,,,,
156,अनग,,body parts,,,,,,,
157,आनम्म,,fathers mother,,,,,,,
158,अननस,,pine apple,,,,,,,
159,अनन्त,,"infinite, unlimited",,,,,,,
160,अनपेक्ष,,"without thinking, without adequate thought",,,,,,,
161,अनर्थ,,"waste, in vain",,,,,,,
162,अन्दाजो,,guess,,,,,,,
163,अनेक,,many,,,,,,,
164,आन्ग्वण,,vow,,,,,,,
165,आनी,,and; any,,,,,,,
166,आनी थोडे,,some more,,,,,,,
167,आनी एक पंता,,once more,,,,,,,
168,आनी एक,,some more,,,,,,,
169,वारे,,"air, wind; air",,,,,,,
170,अनी-मुकारि,,henceforth,,,,,,,
171,अनिश्चित,,"uncertain, undecided",,,,,,,
172,अनिष्ट,,undesirable,,,,,,,
